frame,time_s,knee_angle_deg,torso_lean_deg,jitter_px,knee_angle_smooth,torso_lean_smooth,jitter_smooth
0.0,0.0,178.9169921875,2.5016722373939766,0.0,178.67993503146704,1.9947813616858587,2.1463676293690996
1.0,0.033266998341625206,178.75210571289062,1.0657069840936622,2.738748258228218,178.76516723632812,1.9859110779232447,2.8890308539072667
2.0,0.06653399668325041,178.33668518066406,1.3573675248686794,2.796540391849915,178.60269843207465,1.988364537556966,3.581513431337144
3.0,0.09980099502487562,177.65631103515625,1.847571421979035,3.162038959041056,178.56361219618054,2.1181174649132624,4.44012771712409
4.0,0.13306799336650083,178.7893524169922,1.1740251111871676,10.619981235039544,178.37911817762586,2.29926594098409,5.480482233895195
5.0,0.16633499170812605,179.68408203125,2.421839785844373,6.683969032898704,178.2421688503689,2.42454899681939,6.179471148384941
6.0,0.19960199004975124,177.45477294921875,2.523753353724103,6.232343099408432,178.11213005913626,2.638304869333903,6.537313461303711
7.0,0.23286898839137646,178.56521606445312,3.6694486816675598,7.727528542547972,178.0543450249566,2.7526223924424915,6.55634880065918
8.0,0.26613598673300165,177.2565460205078,4.132008351799567,9.36319080747198,178.06957160101993,2.7060848871866865,7.501079744762844
9.0,0.29940298507462687,177.6844482421875,3.629219843875049,6.290900389827776,177.8005184597439,2.7789755264918012,6.893761979209052
10.0,0.3326699834162521,177.58175659179688,2.989509839101248,5.959329052186875,177.65197414822046,2.608740448951721,6.867173009448581
11.0,0.3659369817578773,177.81661987304688,2.3862253384830665,2.967858544573208,177.47765096028644,2.5446323818630647,7.81836199760437
12.0,0.3992039800995025,177.79335021972656,1.4287338334442914,11.664617779023683,177.18258158365884,2.33714935514662,10.459514591428968
13.0,0.4324709784411277,176.3678741455078,1.8300407729167103,5.154120696288629,176.72865804036456,2.0100823111004296,10.164384868409899
14.0,0.4657379767827529,178.34718322753906,0.889724036658467,6.444668487972489,176.07444763183594,1.8187086582183833,10.598039653566149
15.0,0.49900497512437814,175.8858642578125,1.9467807752202362,14.793044370866426,175.40665690104169,1.7569009992811413,10.635986354615953
16.0,0.5322719734660033,175.9095916748047,1.8021014300979397,31.497902854118983,174.40829298231338,1.7716265254550507,11.872391912672255
17.0,0.5655389718076286,173.17123413085938,1.1884051692946451,6.7070231241150315,173.57782491048175,1.762956778208415,10.75862177213033
18.0,0.5988059701492537,171.7965545654297,1.9068568702087128,10.193793605745748,173.0989193386502,1.9185354842080011,10.669230858484903
19.0,0.6320729684908789,171.57164001464844,2.433240878688168,6.300849229247989,172.4408060709635,2.1689880556530423,10.791503932740952
20.0,0.6653399668325042,168.8313446044922,2.5187548905427453,14.095508823990514,172.52669609917533,2.2630018128289113,10.152474959691364
21.0,0.6986069651741293,170.3191375732422,1.3507061456576162,1.6406862656899084,172.41781785753034,2.3273751735687256,7.748518334494697
22.0,0.7318739635157546,172.05772399902344,3.230249250466237,4.34960284747018,172.5344543457031,2.399797916412353,7.18204034699334
23.0,0.7651409618573798,172.42416381835938,3.143797209017418,7.545126153383613,172.77739969889322,2.477569116486443,6.35086441040039
24.0,0.798407960199005,176.65887451171875,2.7929046024997524,9.04178290780785,172.45187377929685,2.454670707384745,6.297322432200113
25.0,0.8316749585406302,174.9296875,2.381461553978234,9.86229242713743,172.67597283257373,2.4828148550457425,5.673844496409098
26.0,0.8649419568822554,174.22096252441406,1.8402098599787882,1.6087212588911413,172.77343410915796,2.6169476641549005,6.074336502287122
27.0,0.8982089552238807,173.98306274414062,2.6067977177884187,2.7132099655743076,172.63660685221353,2.637914882765876,5.995383421579996
28.0,0.9314759535655058,168.64190673828125,2.2271551073061326,5.818971453515204,172.57660590277777,2.66521672407786,7.994269529978434
29.0,0.964742951907131,170.84823608398438,2.772052177194841,8.484207482414709,172.0695326063368,2.615289886792501,7.149411069022284
30.0,0.9980099502487563,171.1962890625,2.5579014269280433,5.245114134977792,171.5398983425564,2.761329028341505,6.921662622027927
31.0,1.0312769485903814,170.82627868652344,3.4189541088853153,3.6390248889881507,171.23312208387586,2.9472186035580106,7.618365420235527
32.0,1.0645439469320066,171.8841552734375,3.3895137428427704,25.53510036676847,171.17272271050345,3.039879931343927,7.8491800096299915
33.0,1.0978109452736318,172.09521484375,2.343563181717336,1.4380571967354632,171.76768324110242,3.1890314684973826,9.209935718112522
34.0,1.1310779436152572,170.16297912597656,3.6958138417788224,7.812556165791319,172.03566996256507,3.400266514884101,9.069571018218992
35.0,1.1643449419568823,171.45997619628906,3.513216129534164,7.8790465275291615,172.31991746690537,3.536919011010064,11.016282558441162
